Date,PG,MSFT,F,GE
1995-09-05,7.542882442474365,3.809530735015869,5.02061653137207,3.455805540084839
1995-09-06,7.542882442474365,3.7493793964385986,4.923694133758545,3.4925694465637207
1995-09-07,7.515800476074219,3.794492721557617,4.846156597137451,3.4778637886047363
1995-09-08,7.542882442474365,3.829580783843994,4.96246337890625,3.455805540084839
1995-09-11,7.705388069152832,3.91479229927063,4.96246337890625,3.463157892227173
1995-09-12,7.759557247161865,3.85965633392334,4.788002967834473,3.5293335914611816
1995-09-13,7.935604095458984,3.8546435832977295,4.691080093383789,3.5660977363586426
1995-09-14,8.084559440612793,3.8045170307159424,4.768618106842041,3.669036388397217
1995-09-15,8.138731956481934,3.7468740940093994,4.96246337890625,3.757269859313965
1995-09-18,8.108263969421387,3.6892313957214355,4.923694133758545,3.669036388397217
1995-09-19,8.179357528686523,3.741861343383789,4.865540504455566,3.6469767093658447
1995-09-20,8.15227222442627,3.7343428134918213,5.0012335777282715,3.6469767093658447
1995-09-21,8.20644474029541,3.634091377258301,4.884923458099365,3.654329538345337
1995-09-22,8.301234245300293,3.5990049839019775,4.807385444641113,3.705798864364624
1995-09-25,8.409575462341309,3.6184279918670654,4.865540504455566,3.7866811752319336
1995-09-26,8.463737487792969,3.538853168487549,4.826772212982178,3.779327869415283
1995-09-27,8.409575462341309,3.5538907051086426,4.846156597137451,3.890035629272461
1995-09-28,8.341859817504883,3.6691782474517822,4.923694133758545,3.874721050262451
1995-09-29,8.341859817504883,3.629077911376953,4.826772212982178,3.905349016189575
1995-10-02,8.368946075439453,3.538853168487549,4.768618106842041,3.890035629272461
1995-10-03,8.477280616760254,3.5639162063598633,4.7298502922058105,3.8670644760131836
1995-10-04,8.558531761169434,3.4536399841308594,4.613540172576904,3.8976924419403076
1995-10-05,8.558531761169434,3.508780002593994,4.671695709228516,3.859403133392334
1995-10-06,8.680413246154785,3.4436147212982178,4.652310848236084,3.851747989654541
1995-10-09,8.788748741149902,3.333339214324951,4.594156265258789,3.851747989654541
1995-10-10,8.72103500366211,3.358401298522949,4.574772834777832,3.836432933807373
1995-10-11,8.6668701171875,3.4736897945404053,4.652310848236084,3.8058013916015625
1995-10-12,8.734580039978027,3.513789415359497,4.943080425262451,3.851747989654541
