Date,^GSPC,^IXIC,^GDAXI,^FTSE
2009-05-05,903.7999877929688,1754.1199951171875,4853.02978515625,4336.89990234375
2009-05-06,919.530029296875,1759.0999755859375,4880.7099609375,4396.5
2009-05-07,907.3900146484375,1716.239990234375,4804.10009765625,4398.7001953125
2009-05-08,929.22998046875,1739.0,4913.89990234375,4462.10009765625
2009-05-11,909.239990234375,1731.239990234375,4866.91015625,4435.5
2009-05-12,908.3499755859375,1715.9200439453125,4854.10986328125,4425.5
2009-05-13,883.9199829101562,1664.18994140625,4727.60986328125,4331.39990234375
2009-05-14,893.0700073242188,1689.2099609375,4738.47021484375,4362.60009765625
2009-05-15,882.8800048828125,1680.1400146484375,4737.5,4348.10009765625
2009-05-18,909.7100219726562,1732.3599853515625,4851.9599609375,4446.5
2009-05-19,908.1300048828125,1734.5400390625,4959.6201171875,4482.2998046875
2009-05-20,903.469970703125,1727.8399658203125,5038.93994140625,4468.39990234375
2009-05-21,888.3300170898438,1695.25,4900.669921875,4345.5
2009-05-22,887.0,1692.010009765625,4918.75,4365.2998046875
2009-05-26,910.3300170898438,1750.4300537109375,4985.60009765625,4411.7001953125
2009-05-27,893.0599975585938,1731.0799560546875,5000.77001953125,4416.2001953125
2009-05-28,906.8300170898438,1751.7900390625,4932.8798828125,4387.5
2009-05-29,919.1400146484375,1774.3299560546875,4940.81982421875,4417.89990234375
2009-06-01,942.8699951171875,1828.6800537109375,5142.56005859375,4506.2001953125
2009-06-02,944.739990234375,1836.800048828125,5144.06005859375,4477.0
2009-06-03,931.760009765625,1825.9200439453125,5054.52978515625,4383.39990234375
2009-06-04,942.4600219726562,1850.02001953125,5064.7998046875,4386.89990234375
2009-06-05,940.0900268554688,1849.4200439453125,5077.02978515625,4438.60009765625
2009-06-08,939.1400146484375,1842.4000244140625,5004.72021484375,4405.2001953125
2009-06-09,942.4299926757812,1860.1300048828125,4997.85986328125,4404.7998046875
2009-06-10,939.1500244140625,1853.0799560546875,5051.18017578125,4436.7998046875
2009-06-11,944.8900146484375,1862.3699951171875,5107.259765625,4461.89990234375
2009-06-12,946.2100219726562,1858.800048828125,5069.240234375,4442.0
2009-06-15,923.719970703125,1816.3800048828125,4889.93994140625,4326.0
2009-06-16,911.969970703125,1796.1800537109375,4890.72021484375,4328.60009765625
2009-06-17,910.7100219726562,1808.06005859375,4799.97998046875,4278.5
2009-06-18,918.3699951171875,1807.719970703125,4837.47998046875,4280.89990234375
2009-06-19,921.22998046875,1827.469970703125,4839.4599609375,4345.89990234375
2009-06-22,893.0399780273438,1766.18994140625,4693.39990234375,4234.10009765625
2009-06-23,895.0999755859375,1764.9200439453125,4707.14990234375,4230.0
2009-06-24,900.9400024414062,1792.3399658203125,4836.009765625,4280.0
2009-06-25,920.260009765625,1829.5400390625,4800.56005859375,4252.60009765625
2009-06-26,918.9000244140625,1838.219970703125,4776.47021484375,4241.0
2009-06-29,927.22998046875,1844.06005859375,4885.08984375,4294.0
2009-06-30,919.3200073242188,1835.0400390625,4808.64013671875,4249.2001953125
2009-07-01,923.3300170898438,1845.719970703125,4905.43994140625,4340.7001953125
2009-07-02,896.4199829101562,1796.52001953125,4718.490234375,4234.2998046875
2009-07-06,898.719970703125,1787.4000244140625,4651.81982421875,4194.89990234375
