Date,PG,TSLA
2017-03-17,82.51724243164062,261.5
2017-03-20,82.71673583984375,261.9200134277344
2017-03-21,82.68954467773438,250.67999267578125
2017-03-22,82.50817108154297,255.00999450683594
2017-03-23,82.30868530273438,254.77999877929688
2017-03-24,82.1273193359375,263.1600036621094
2017-03-27,82.05477905273438,270.2200012207031
2017-03-28,82.29962921142578,277.45001220703125
2017-03-29,82.15452575683594,277.3800048828125
2017-03-30,81.79181671142578,277.9200134277344
2017-03-31,81.47444915771484,278.29998779296875
2017-04-03,81.32030487060547,298.5199890136719
2017-04-04,81.52886199951172,303.70001220703125
2017-04-05,81.58325958251953,295.0
2017-04-06,81.0663833618164,298.70001220703125
2017-04-07,80.9122314453125,302.5400085449219
2017-04-10,81.14800262451172,312.3900146484375
2017-04-11,81.4291000366211,308.7099914550781
2017-04-12,81.89155578613281,296.8399963378906
2017-04-13,81.6376724243164,304.0
2017-04-17,81.96410369873047,301.44000244140625
2017-04-18,82.33589935302734,300.25
2017-04-19,81.8698959350586,305.5199890136719
2017-04-20,81.6231918334961,302.510009765625
2017-04-21,80.97442626953125,305.6000061035156
2017-04-24,81.82420349121094,308.0299987792969
2017-04-25,82.23538208007812,313.7900085449219
2017-04-26,80.17035675048828,310.1700134277344
2017-04-27,80.12467193603516,308.6300048828125
2017-04-28,79.79572296142578,314.07000732421875
2017-05-01,79.5764389038086,322.8299865722656
2017-05-02,78.781494140625,318.8900146484375
2017-05-03,78.97338104248047,311.0199890136719
2017-05-04,78.99166107177734,295.4599914550781
2017-05-05,79.0373306274414,308.3500061035156
2017-05-08,79.0830307006836,307.19000244140625
2017-05-09,78.94596099853516,321.260009765625
2017-05-10,79.0281982421875,325.2200012207031
2017-05-11,78.73580169677734,323.1000061035156
2017-05-12,78.75408172607422,324.80999755859375
2017-05-15,78.88199615478516,315.8800048828125
2017-05-16,78.79977416992188,317.010009765625
2017-05-17,78.81805419921875,306.1099853515625
2017-05-18,78.4616928100586,313.05999755859375
2017-05-19,78.79977416992188,310.8299865722656
2017-05-22,78.77235412597656,310.3500061035156
2017-05-23,78.65357208251953,303.8599853515625
2017-05-24,79.0373306274414,310.2200012207031
2017-05-25,79.36626434326172,316.8299865722656
2017-05-26,79.72262573242188,325.1400146484375
2017-05-30,79.85969543457031,335.1000061035156
2017-05-31,80.49015808105469,341.010009765625
2017-06-01,80.52669525146484,340.3699951171875
2017-06-02,80.94702911376953,339.8500061035156
2017-06-05,81.08407592773438,347.32000732421875
2017-06-06,81.13890838623047,352.8500061035156
2017-06-07,81.11148834228516,359.6499938964844
2017-06-08,80.27088165283203,370.0
2017-06-09,80.55411529541016,357.32000732421875
2017-06-12,80.62722778320312,359.010009765625
2017-06-13,80.46276092529297,375.95001220703125
2017-06-14,80.80997467041016,380.6600036621094
2017-06-15,81.66886138916016,375.3399963378906
2017-06-16,81.9247055053711,371.3999938964844
2017-06-19,82.10746002197266,369.79998779296875
2017-06-20,81.89730072021484,372.239990234375
2017-06-21,81.68714141845703,376.3999938964844
2017-06-22,81.34906005859375,382.6099853515625
2017-06-23,81.7054214477539,383.45001220703125
2017-06-26,81.65060424804688,377.489990234375
2017-06-27,80.96530151367188,362.3699951171875
2017-06-28,80.74600219726562,371.239990234375
2017-06-29,79.48505401611328,360.75
2017-06-30,79.63126373291016,361.6099853515625
2017-07-03,80.17035675048828,352.6199951171875
2017-07-05,80.10639953613281,327.0899963378906
2017-07-06,79.83226776123047,308.8299865722656
2017-07-07,80.08811950683594,313.2200012207031
2017-07-10,79.5764389038086,316.04998779296875
2017-07-11,79.28404235839844,327.2200012207031
2017-07-12,79.4576416015625,329.5199890136719
2017-07-13,79.22007751464844,323.4100036621094
2017-07-14,79.5855712890625,327.7799987792969
2017-07-17,79.99674987792969,319.57000732421875
2017-07-18,80.99270629882812,328.239990234375
2017-07-19,81.3610610961914,325.260009765625
2017-07-20,81.59129333496094,329.9200134277344
2017-07-21,81.60050201416016,328.3999938964844
2017-07-24,81.20451354980469,342.5199890136719
2017-07-25,82.08856201171875,339.6000061035156
2017-07-26,82.23592376708984,343.8500061035156
2017-07-27,83.50675201416016,334.4599914550781
2017-07-28,83.07392883300781,335.07000732421875
2017-07-31,83.63567352294922,323.4700012207031
2017-08-01,83.8935317993164,319.57000732421875
2017-08-02,83.83828735351562,325.8900146484375
2017-08-03,83.67251586914062,347.0899963378906
2017-08-04,83.49755096435547,356.9100036621094
2017-08-07,84.20663452148438,355.1700134277344
2017-08-08,84.3355484008789,365.2200012207031
2017-08-09,84.64866638183594,363.5299987792969
2017-08-10,84.48289489746094,355.3999938964844
2017-08-11,84.11454772949219,357.8699951171875
2017-08-14,84.4000244140625,363.79998779296875
2017-08-15,84.90650939941406,362.3299865722656
2017-08-16,85.12753295898438,362.9100036621094
2017-08-17,84.78679656982422,351.9200134277344
2017-08-18,85.15515899658203,347.4599914550781
2017-08-21,85.5143051147461,337.8599853515625
2017-08-22,85.4498519897461,341.3500061035156
2017-08-23,85.12753295898438,352.7699890136719
2017-08-24,84.97098541259766,352.92999267578125
2017-08-25,85.1919937133789,348.04998779296875
2017-08-28,85.15515899658203,345.6600036621094
2017-08-29,85.01701354980469,347.3599853515625
2017-08-30,84.60260772705078,353.17999267578125
2017-08-31,84.97098541259766,355.8999938964844
2017-09-01,85.21040344238281,355.3999938964844
2017-09-05,85.3853759765625,349.5899963378906
2017-09-06,85.3853759765625,344.5299987792969
2017-09-07,85.61560821533203,350.6099853515625
2017-09-08,85.49589538574219,343.3999938964844
2017-09-11,86.55490112304688,363.69000244140625
2017-09-12,86.1128921508789,362.75
2017-09-13,86.14973449707031,366.2300109863281
2017-09-14,86.14973449707031,377.6400146484375
2017-09-15,85.8918685913086,379.80999755859375
2017-09-18,85.78135681152344,385.0
2017-09-19,86.7206802368164,375.1000061035156
2017-09-20,86.93248748779297,373.9100036621094
2017-09-21,85.31170654296875,366.4800109863281
2017-09-22,84.94334411621094,351.0899963378906
2017-09-25,85.3853759765625,344.989990234375
2017-09-26,85.32091522216797,345.25
2017-09-27,83.68173217773438,340.9700012207031
2017-09-28,83.70014190673828,339.6000061035156
2017-09-29,83.78304290771484,341.1000061035156
2017-10-02,84.51052856445312,341.5299987792969
2017-10-03,84.83283996582031,348.1400146484375
2017-10-04,85.10911560058594,355.010009765625
2017-10-05,84.74996185302734,355.3299865722656
